# xllcorner: -4881462.78
# yllcorner: 5504155.07
# cellsize: 926.625433055834
# nrows: 1
# ncols: 1
# band: LST_Day_1km
# units: Kelvin
# scale: 0.02
# latitude: 49.5
# longitude: -67.59
# site: 65_8
# product: MOD11A2
# start: 2004-01-01
# end: 2004-12-31
# complete: FALSE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2004001,2004-01-01,LST_Day_1km,h13v04,2015212185728,1,12768
A2004009,2004-01-09,LST_Day_1km,h13v04,2015212201048,1,12406
A2004017,2004-01-17,LST_Day_1km,h13v04,2015212213105,1,12917
A2004025,2004-01-25,LST_Day_1km,h13v04,2015213005500,1,12872
A2004033,2004-02-02,LST_Day_1km,h13v04,2015213090337,1,13012
A2004041,2004-02-10,LST_Day_1km,h13v04,2015213165317,1,12830
A2004049,2004-02-18,LST_Day_1km,h13v04,2015216183047,1,13259
A2004057,2004-02-26,LST_Day_1km,h13v04,2015217020548,1,13178
A2004065,2004-03-05,LST_Day_1km,h13v04,2015217091314,1,13336
A2004073,2004-03-13,LST_Day_1km,h13v04,2015217164919,1,13103
