# xllcorner: -4874281.46
# yllcorner: 5519676.01
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: all
# latitude: 49.64
# longitude: -67.69
# site: 55_22
# product: MOD13Q1
# start: 2011-01-01
# end: 2011-12-31
# complete: FALSE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2011001,2011-01-01,250m_16_days_blue_reflectance,h13v04,2015216113635,1,2122
A2011001,2011-01-01,250m_16_days_MIR_reflectance,h13v04,2015216113635,1,174
A2011001,2011-01-01,250m_16_days_NIR_reflectance,h13v04,2015216113635,1,2072
A2011001,2011-01-01,250m_16_days_pixel_reliability,h13v04,2015216113635,1,2
A2011001,2011-01-01,250m_16_days_red_reflectance,h13v04,2015216113635,1,1700
A2011001,2011-01-01,250m_16_days_relative_azimuth_angle,h13v04,2015216113635,1,10943
A2011001,2011-01-01,250m_16_days_sun_zenith_angle,h13v04,2015216113635,1,7225
A2011001,2011-01-01,250m_16_days_view_zenith_angle,h13v04,2015216113635,1,396
A2011001,2011-01-01,250m_16_days_VI_Quality,h13v04,2015216113635,1,18449
A2011001,2011-01-01,250m_16_days_NDVI,h13v04,2015216113635,1,986
A2011001,2011-01-01,250m_16_days_EVI,h13v04,2015216113635,1,675
A2011001,2011-01-01,250m_16_days_composite_day_of_the_year,h13v04,2015216113635,1,13
A2011017,2011-01-17,250m_16_days_blue_reflectance,h13v04,2015216145922,1,1707
A2011017,2011-01-17,250m_16_days_MIR_reflectance,h13v04,2015216145922,1,179
A2011017,2011-01-17,250m_16_days_NIR_reflectance,h13v04,2015216145922,1,1636
A2011017,2011-01-17,250m_16_days_pixel_reliability,h13v04,2015216145922,1,2
A2011017,2011-01-17,250m_16_days_red_reflectance,h13v04,2015216145922,1,925
A2011017,2011-01-17,250m_16_days_relative_azimuth_angle,h13v04,2015216145922,1,12033
A2011017,2011-01-17,250m_16_days_sun_zenith_angle,h13v04,2015216145922,1,6893
A2011017,2011-01-17,250m_16_days_view_zenith_angle,h13v04,2015216145922,1,402
A2011017,2011-01-17,250m_16_days_VI_Quality,h13v04,2015216145922,1,18449
A2011017,2011-01-17,250m_16_days_NDVI,h13v04,2015216145922,1,2776
A2011017,2011-01-17,250m_16_days_EVI,h13v04,2015216145922,1,1415
A2011017,2011-01-17,250m_16_days_composite_day_of_the_year,h13v04,2015216145922,1,29
A2011033,2011-02-02,250m_16_days_blue_reflectance,h13v04,2015216132659,1,1105
A2011033,2011-02-02,250m_16_days_MIR_reflectance,h13v04,2015216132659,1,181
A2011033,2011-02-02,250m_16_days_NIR_reflectance,h13v04,2015216132659,1,2068
A2011033,2011-02-02,250m_16_days_pixel_reliability,h13v04,2015216132659,1,2
A2011033,2011-02-02,250m_16_days_red_reflectance,h13v04,2015216132659,1,1014
A2011033,2011-02-02,250m_16_days_relative_azimuth_angle,h13v04,2015216132659,1,-5700
A2011033,2011-02-02,250m_16_days_sun_zenith_angle,h13v04,2015216132659,1,6669
A2011033,2011-02-02,250m_16_days_view_zenith_angle,h13v04,2015216132659,1,556
A2011033,2011-02-02,250m_16_days_VI_Quality,h13v04,2015216132659,1,18449
A2011033,2011-02-02,250m_16_days_NDVI,h13v04,2015216132659,1,3419
A2011033,2011-02-02,250m_16_days_EVI,h13v04,2015216132659,1,2014
A2011033,2011-02-02,250m_16_days_composite_day_of_the_year,h13v04,2015216132659,1,38
A2011049,2011-02-18,250m_16_days_blue_reflectance,h13v04,2015216132637,1,1423
A2011049,2011-02-18,250m_16_days_MIR_reflectance,h13v04,2015216132637,1,252
