# site: 40_15
# product: MOD11A2
# start: 2012-01-01
# end: 2012-12-31
# complete: FALSE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2012081,2012-03-21,LST_Day_1km,h13v04,2016106223751,1,13423
A2012089,2012-03-29,LST_Day_1km,h13v04,2016107050706,1,13595
A2012097,2012-04-06,LST_Day_1km,h13v04,2016109195842,1,13830
A2012105,2012-04-14,LST_Day_1km,h13v04,2016126162736,1,13793
A2012113,2012-04-22,LST_Day_1km,h13v04,2016126172443,1,13677
A2012121,2012-04-30,LST_Day_1km,h13v04,2016126180219,1,14036
A2012129,2012-05-08,LST_Day_1km,h13v04,2016126185114,1,14515
A2012137,2012-05-16,LST_Day_1km,h13v04,2016126185424,1,14558
A2012145,2012-05-24,LST_Day_1km,h13v04,2016126190019,1,14841
A2012153,2012-06-01,LST_Day_1km,h13v04,2016126190713,1,14518
A2012161,2012-06-09,LST_Day_1km,h13v04,2016126191240,1,14535
A2012169,2012-06-17,LST_Day_1km,h13v04,2016126191814,1,14744
A2012177,2012-06-25,LST_Day_1km,h13v04,2016131170343,1,0
A2012185,2012-07-03,LST_Day_1km,h13v04,2016131170408,1,14574
A2012193,2012-07-11,LST_Day_1km,h13v04,2016131170703,1,14712
A2012201,2012-07-19,LST_Day_1km,h13v04,2016131170941,1,14513
A2012209,2012-07-27,LST_Day_1km,h13v04,2016131171209,1,14867
A2012217,2012-08-04,LST_Day_1km,h13v04,2016131171442,1,14624
A2012225,2012-08-12,LST_Day_1km,h13v04,2016131171717,1,14651
A2012233,2012-08-20,LST_Day_1km,h13v04,2016131171949,1,14664
A2012241,2012-08-28,LST_Day_1km,h13v04,2016131172225,1,14509
A2012249,2012-09-05,LST_Day_1km,h13v04,2016131172450,1,14479
A2012257,2012-09-13,LST_Day_1km,h13v04,2016134174120,1,14477
A2012265,2012-09-21,LST_Day_1km,h13v04,2016134174305,1,14046
A2012273,2012-09-29,LST_Day_1km,h13v04,2016134174415,1,14226
A2012281,2012-10-07,LST_Day_1km,h13v04,2016134174546,1,14065
A2012289,2012-10-15,LST_Day_1km,h13v04,2016134174714,1,14148
A2012297,2012-10-23,LST_Day_1km,h13v04,2016137164426,1,13931
A2012305,2012-10-31,LST_Day_1km,h13v04,2016137164418,1,13638
A2012313,2012-11-08,LST_Day_1km,h13v04,2016137164510,1,13588
A2012321,2012-11-16,LST_Day_1km,h13v04,2016137164623,1,13654
A2012329,2012-11-24,LST_Day_1km,h13v04,2016137164737,1,13008
A2012337,2012-12-02,LST_Day_1km,h13v04,2016137164851,1,13209
A2012345,2012-12-10,LST_Day_1km,h13v04,2016137165006,1,12819
A2012353,2012-12-18,LST_Day_1km,h13v04,2016138141100,1,13054
A2012361,2012-12-26,LST_Day_1km,h13v04,2016141143659,1,13021
