# site: 11_21
# product: MOD13Q1
# start: 2014-01-01
# end: 2014-12-31
# complete: FALSE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2014161,2014-06-10,250m_16_days_blue_reflectance,h13v04,2015288075141,1,165
A2014161,2014-06-10,250m_16_days_MIR_reflectance,h13v04,2015288075141,1,438
A2014161,2014-06-10,250m_16_days_NIR_reflectance,h13v04,2015288075141,1,1699
A2014161,2014-06-10,250m_16_days_pixel_reliability,h13v04,2015288075141,1,0
A2014161,2014-06-10,250m_16_days_red_reflectance,h13v04,2015288075141,1,363
A2014161,2014-06-10,250m_16_days_relative_azimuth_angle,h13v04,2015288075141,1,12414
A2014161,2014-06-10,250m_16_days_sun_zenith_angle,h13v04,2015288075141,1,2746
A2014161,2014-06-10,250m_16_days_view_zenith_angle,h13v04,2015288075141,1,2044
A2014161,2014-06-10,250m_16_days_VI_Quality,h13v04,2015288075141,1,2112
A2014161,2014-06-10,250m_16_days_NDVI,h13v04,2015288075141,1,6479
A2014161,2014-06-10,250m_16_days_EVI,h13v04,2015288075141,1,2642
A2014161,2014-06-10,250m_16_days_composite_day_of_the_year,h13v04,2015288075141,1,163
A2014177,2014-06-26,250m_16_days_blue_reflectance,h13v04,2015288071331,1,201
A2014177,2014-06-26,250m_16_days_MIR_reflectance,h13v04,2015288071331,1,605
A2014177,2014-06-26,250m_16_days_NIR_reflectance,h13v04,2015288071331,1,2251
A2014177,2014-06-26,250m_16_days_pixel_reliability,h13v04,2015288071331,1,0
A2014177,2014-06-26,250m_16_days_red_reflectance,h13v04,2015288071331,1,395
A2014177,2014-06-26,250m_16_days_relative_azimuth_angle,h13v04,2015288071331,1,-4381
A2014177,2014-06-26,250m_16_days_sun_zenith_angle,h13v04,2015288071331,1,3094
A2014177,2014-06-26,250m_16_days_view_zenith_angle,h13v04,2015288071331,1,3377
A2014177,2014-06-26,250m_16_days_VI_Quality,h13v04,2015288071331,1,2112
A2014177,2014-06-26,250m_16_days_NDVI,h13v04,2015288071331,1,7014
A2014177,2014-06-26,250m_16_days_EVI,h13v04,2015288071331,1,3538
A2014177,2014-06-26,250m_16_days_composite_day_of_the_year,h13v04,2015288071331,1,185
A2014193,2014-07-12,250m_16_days_blue_reflectance,h13v04,2015289003334,1,78
A2014193,2014-07-12,250m_16_days_MIR_reflectance,h13v04,2015289003334,1,260
A2014193,2014-07-12,250m_16_days_NIR_reflectance,h13v04,2015289003334,1,1312
A2014193,2014-07-12,250m_16_days_pixel_reliability,h13v04,2015289003334,1,1
A2014193,2014-07-12,250m_16_days_red_reflectance,h13v04,2015289003334,1,165
A2014193,2014-07-12,250m_16_days_relative_azimuth_angle,h13v04,2015289003334,1,11593
A2014193,2014-07-12,250m_16_days_sun_zenith_angle,h13v04,2015289003334,1,2991
A2014193,2014-07-12,250m_16_days_view_zenith_angle,h13v04,2015289003334,1,5541
A2014193,2014-07-12,250m_16_days_VI_Quality,h13v04,2015289003334,1,2116
A2014193,2014-07-12,250m_16_days_NDVI,h13v04,2015289003334,1,7765
A2014193,2014-07-12,250m_16_days_EVI,h13v04,2015289003334,1,2447
A2014193,2014-07-12,250m_16_days_composite_day_of_the_year,h13v04,2015289003334,1,205
A2014209,2014-07-28,250m_16_days_blue_reflectance,h13v04,2015289032654,1,169
A2014209,2014-07-28,250m_16_days_MIR_reflectance,h13v04,2015289032654,1,516
A2014209,2014-07-28,250m_16_days_NIR_reflectance,h13v04,2015289032654,1,1798
A2014209,2014-07-28,250m_16_days_pixel_reliability,h13v04,2015289032654,1,1
A2014209,2014-07-28,250m_16_days_red_reflectance,h13v04,2015289032654,1,318
A2014209,2014-07-28,250m_16_days_relative_azimuth_angle,h13v04,2015289032654,1,-5035
A2014209,2014-07-28,250m_16_days_sun_zenith_angle,h13v04,2015289032654,1,3784
A2014209,2014-07-28,250m_16_days_view_zenith_angle,h13v04,2015289032654,1,2613
A2014209,2014-07-28,250m_16_days_VI_Quality,h13v04,2015289032654,1,2181
A2014209,2014-07-28,250m_16_days_NDVI,h13v04,2015289032654,1,6994
A2014209,2014-07-28,250m_16_days_EVI,h13v04,2015289032654,1,2974
A2014209,2014-07-28,250m_16_days_composite_day_of_the_year,h13v04,2015289032654,1,224
A2014225,2014-08-13,250m_16_days_blue_reflectance,h13v04,2015289160600,1,129
A2014225,2014-08-13,250m_16_days_MIR_reflectance,h13v04,2015289160600,1,344
A2014225,2014-08-13,250m_16_days_NIR_reflectance,h13v04,2015289160600,1,1528
A2014225,2014-08-13,250m_16_days_pixel_reliability,h13v04,2015289160600,1,0
A2014225,2014-08-13,250m_16_days_red_reflectance,h13v04,2015289160600,1,201
A2014225,2014-08-13,250m_16_days_relative_azimuth_angle,h13v04,2015289160600,1,12187
A2014225,2014-08-13,250m_16_days_sun_zenith_angle,h13v04,2015289160600,1,3982
A2014225,2014-08-13,250m_16_days_view_zenith_angle,h13v04,2015289160600,1,1116
A2014225,2014-08-13,250m_16_days_VI_Quality,h13v04,2015289160600,1,2112
A2014225,2014-08-13,250m_16_days_NDVI,h13v04,2015289160600,1,7674
A2014225,2014-08-13,250m_16_days_EVI,h13v04,2015289160600,1,2819
A2014225,2014-08-13,250m_16_days_composite_day_of_the_year,h13v04,2015289160600,1,236
A2014241,2014-08-29,250m_16_days_blue_reflectance,h13v04,2015289182833,1,133
A2014241,2014-08-29,250m_16_days_MIR_reflectance,h13v04,2015289182833,1,339
A2014241,2014-08-29,250m_16_days_NIR_reflectance,h13v04,2015289182833,1,1393
A2014241,2014-08-29,250m_16_days_pixel_reliability,h13v04,2015289182833,1,0
A2014241,2014-08-29,250m_16_days_red_reflectance,h13v04,2015289182833,1,213
A2014241,2014-08-29,250m_16_days_relative_azimuth_angle,h13v04,2015289182833,1,11710
A2014241,2014-08-29,250m_16_days_sun_zenith_angle,h13v04,2015289182833,1,4529
A2014241,2014-08-29,250m_16_days_view_zenith_angle,h13v04,2015289182833,1,1126
A2014241,2014-08-29,250m_16_days_VI_Quality,h13v04,2015289182833,1,2112
A2014241,2014-08-29,250m_16_days_NDVI,h13v04,2015289182833,1,7347
A2014241,2014-08-29,250m_16_days_EVI,h13v04,2015289182833,1,2527
A2014241,2014-08-29,250m_16_days_composite_day_of_the_year,h13v04,2015289182833,1,252
A2014257,2014-09-14,250m_16_days_blue_reflectance,h13v04,2015291062645,1,144
A2014257,2014-09-14,250m_16_days_MIR_reflectance,h13v04,2015291062645,1,411
A2014257,2014-09-14,250m_16_days_NIR_reflectance,h13v04,2015291062645,1,1486
A2014257,2014-09-14,250m_16_days_pixel_reliability,h13v04,2015291062645,1,0
A2014257,2014-09-14,250m_16_days_red_reflectance,h13v04,2015291062645,1,301
A2014257,2014-09-14,250m_16_days_relative_azimuth_angle,h13v04,2015291062645,1,-6472
A2014257,2014-09-14,250m_16_days_sun_zenith_angle,h13v04,2015291062645,1,5239
A2014257,2014-09-14,250m_16_days_view_zenith_angle,h13v04,2015291062645,1,808
A2014257,2014-09-14,250m_16_days_VI_Quality,h13v04,2015291062645,1,2112
A2014257,2014-09-14,250m_16_days_NDVI,h13v04,2015291062645,1,6631
A2014257,2014-09-14,250m_16_days_EVI,h13v04,2015291062645,1,2425
A2014257,2014-09-14,250m_16_days_composite_day_of_the_year,h13v04,2015291062645,1,270
A2014273,2014-09-30,250m_16_days_blue_reflectance,h13v04,2015291111908,1,105
A2014273,2014-09-30,250m_16_days_MIR_reflectance,h13v04,2015291111908,1,368
A2014273,2014-09-30,250m_16_days_NIR_reflectance,h13v04,2015291111908,1,1235
A2014273,2014-09-30,250m_16_days_pixel_reliability,h13v04,2015291111908,1,0
A2014273,2014-09-30,250m_16_days_red_reflectance,h13v04,2015291111908,1,220
A2014273,2014-09-30,250m_16_days_relative_azimuth_angle,h13v04,2015291111908,1,-6731
A2014273,2014-09-30,250m_16_days_sun_zenith_angle,h13v04,2015291111908,1,5826
A2014273,2014-09-30,250m_16_days_view_zenith_angle,h13v04,2015291111908,1,781
A2014273,2014-09-30,250m_16_days_VI_Quality,h13v04,2015291111908,1,2112
A2014273,2014-09-30,250m_16_days_NDVI,h13v04,2015291111908,1,6975
A2014273,2014-09-30,250m_16_days_EVI,h13v04,2015291111908,1,2156
A2014273,2014-09-30,250m_16_days_composite_day_of_the_year,h13v04,2015291111908,1,286
A2014289,2014-10-16,250m_16_days_blue_reflectance,h13v04,2015291191437,1,91
A2014289,2014-10-16,250m_16_days_MIR_reflectance,h13v04,2015291191437,1,315
A2014289,2014-10-16,250m_16_days_NIR_reflectance,h13v04,2015291191437,1,1146
A2014289,2014-10-16,250m_16_days_pixel_reliability,h13v04,2015291191437,1,0
A2014289,2014-10-16,250m_16_days_red_reflectance,h13v04,2015291191437,1,218
A2014289,2014-10-16,250m_16_days_relative_azimuth_angle,h13v04,2015291191437,1,-6615
A2014289,2014-10-16,250m_16_days_sun_zenith_angle,h13v04,2015291191437,1,6165
A2014289,2014-10-16,250m_16_days_view_zenith_angle,h13v04,2015291191437,1,1715
A2014289,2014-10-16,250m_16_days_VI_Quality,h13v04,2015291191437,1,2116
A2014289,2014-10-16,250m_16_days_NDVI,h13v04,2015291191437,1,6803
A2014289,2014-10-16,250m_16_days_EVI,h13v04,2015291191437,1,1970
A2014289,2014-10-16,250m_16_days_composite_day_of_the_year,h13v04,2015291191437,1,295
A2014305,2014-11-01,250m_16_days_blue_reflectance,h13v04,2015292062207,1,167
A2014305,2014-11-01,250m_16_days_MIR_reflectance,h13v04,2015292062207,1,485
A2014305,2014-11-01,250m_16_days_NIR_reflectance,h13v04,2015292062207,1,1587
A2014305,2014-11-01,250m_16_days_pixel_reliability,h13v04,2015292062207,1,1
A2014305,2014-11-01,250m_16_days_red_reflectance,h13v04,2015292062207,1,342
A2014305,2014-11-01,250m_16_days_relative_azimuth_angle,h13v04,2015292062207,1,-6483
A2014305,2014-11-01,250m_16_days_sun_zenith_angle,h13v04,2015292062207,1,6726
A2014305,2014-11-01,250m_16_days_view_zenith_angle,h13v04,2015292062207,1,5163
A2014305,2014-11-01,250m_16_days_VI_Quality,h13v04,2015292062207,1,2189
A2014305,2014-11-01,250m_16_days_NDVI,h13v04,2015292062207,1,6454
A2014305,2014-11-01,250m_16_days_EVI,h13v04,2015292062207,1,2512
A2014305,2014-11-01,250m_16_days_composite_day_of_the_year,h13v04,2015292062207,1,308
A2014321,2014-11-17,250m_16_days_blue_reflectance,h13v04,2015292071723,1,301
A2014321,2014-11-17,250m_16_days_MIR_reflectance,h13v04,2015292071723,1,700
A2014321,2014-11-17,250m_16_days_NIR_reflectance,h13v04,2015292071723,1,1707
A2014321,2014-11-17,250m_16_days_pixel_reliability,h13v04,2015292071723,1,3
A2014321,2014-11-17,250m_16_days_red_reflectance,h13v04,2015292071723,1,442
A2014321,2014-11-17,250m_16_days_relative_azimuth_angle,h13v04,2015292071723,1,-6503
A2014321,2014-11-17,250m_16_days_sun_zenith_angle,h13v04,2015292071723,1,7376
A2014321,2014-11-17,250m_16_days_view_zenith_angle,h13v04,2015292071723,1,5604
A2014321,2014-11-17,250m_16_days_VI_Quality,h13v04,2015292071723,1,38186
A2014321,2014-11-17,250m_16_days_NDVI,h13v04,2015292071723,1,5886
A2014321,2014-11-17,250m_16_days_EVI,h13v04,2015292071723,1,2603
A2014321,2014-11-17,250m_16_days_composite_day_of_the_year,h13v04,2015292071723,1,333
A2014337,2014-12-03,250m_16_days_blue_reflectance,h13v04,2015294144310,1,1710
A2014337,2014-12-03,250m_16_days_MIR_reflectance,h13v04,2015294144310,1,525
A2014337,2014-12-03,250m_16_days_NIR_reflectance,h13v04,2015294144310,1,2826
A2014337,2014-12-03,250m_16_days_pixel_reliability,h13v04,2015294144310,1,2
A2014337,2014-12-03,250m_16_days_red_reflectance,h13v04,2015294144310,1,1697
A2014337,2014-12-03,250m_16_days_relative_azimuth_angle,h13v04,2015294144310,1,-6450
A2014337,2014-12-03,250m_16_days_sun_zenith_angle,h13v04,2015294144310,1,7554
