# xllcorner: -4915747.91
# yllcorner: 5498595.32
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: all
# latitude: 49.45
# longitude: -68
# site: 24_3
# product: MOD13Q1
# start: 2014-01-01
# end: 2014-12-31
# complete: TRUE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2014001,2014-01-01,250m_16_days_blue_reflectance,h13v04,2015272061146,1,2234
A2014001,2014-01-01,250m_16_days_MIR_reflectance,h13v04,2015272061146,1,384
A2014001,2014-01-01,250m_16_days_NIR_reflectance,h13v04,2015272061146,1,3235
A2014001,2014-01-01,250m_16_days_pixel_reliability,h13v04,2015272061146,1,2
A2014001,2014-01-01,250m_16_days_red_reflectance,h13v04,2015272061146,1,2169
A2014001,2014-01-01,250m_16_days_relative_azimuth_angle,h13v04,2015272061146,1,-6205
A2014001,2014-01-01,250m_16_days_sun_zenith_angle,h13v04,2015272061146,1,7471
A2014001,2014-01-01,250m_16_days_view_zenith_angle,h13v04,2015272061146,1,3956
A2014001,2014-01-01,250m_16_days_VI_Quality,h13v04,2015272061146,1,18449
A2014001,2014-01-01,250m_16_days_NDVI,h13v04,2015272061146,1,1972
A2014001,2014-01-01,250m_16_days_EVI,h13v04,2015272061146,1,1730
A2014001,2014-01-01,250m_16_days_composite_day_of_the_year,h13v04,2015272061146,1,2
A2014017,2014-01-17,250m_16_days_blue_reflectance,h13v04,2015273225942,1,2010
A2014017,2014-01-17,250m_16_days_MIR_reflectance,h13v04,2015273225942,1,107
A2014017,2014-01-17,250m_16_days_NIR_reflectance,h13v04,2015273225942,1,1682
A2014017,2014-01-17,250m_16_days_pixel_reliability,h13v04,2015273225942,1,2
A2014017,2014-01-17,250m_16_days_red_reflectance,h13v04,2015273225942,1,1190
A2014017,2014-01-17,250m_16_days_relative_azimuth_angle,h13v04,2015273225942,1,11617
A2014017,2014-01-17,250m_16_days_sun_zenith_angle,h13v04,2015273225942,1,6891
A2014017,2014-01-17,250m_16_days_view_zenith_angle,h13v04,2015273225942,1,4265
A2014017,2014-01-17,250m_16_days_VI_Quality,h13v04,2015273225942,1,18453
A2014017,2014-01-17,250m_16_days_NDVI,h13v04,2015273225942,1,1713
A2014017,2014-01-17,250m_16_days_EVI,h13v04,2015273225942,1,955
A2014017,2014-01-17,250m_16_days_composite_day_of_the_year,h13v04,2015273225942,1,24
A2014033,2014-02-02,250m_16_days_blue_reflectance,h13v04,2015274231452,1,1486
A2014033,2014-02-02,250m_16_days_MIR_reflectance,h13v04,2015274231452,1,104
A2014033,2014-02-02,250m_16_days_NIR_reflectance,h13v04,2015274231452,1,3327
A2014033,2014-02-02,250m_16_days_pixel_reliability,h13v04,2015274231452,1,2
A2014033,2014-02-02,250m_16_days_red_reflectance,h13v04,2015274231452,1,2576
A2014033,2014-02-02,250m_16_days_relative_azimuth_angle,h13v04,2015274231452,1,10964
A2014033,2014-02-02,250m_16_days_sun_zenith_angle,h13v04,2015274231452,1,6647
A2014033,2014-02-02,250m_16_days_view_zenith_angle,h13v04,2015274231452,1,307
A2014033,2014-02-02,250m_16_days_VI_Quality,h13v04,2015274231452,1,18449
A2014033,2014-02-02,250m_16_days_NDVI,h13v04,2015274231452,1,1272
A2014033,2014-02-02,250m_16_days_EVI,h13v04,2015274231452,1,1180
A2014033,2014-02-02,250m_16_days_composite_day_of_the_year,h13v04,2015274231452,1,37
A2014049,2014-02-18,250m_16_days_blue_reflectance,h13v04,2015274231449,1,1680
A2014049,2014-02-18,250m_16_days_MIR_reflectance,h13v04,2015274231449,1,436
A2014049,2014-02-18,250m_16_days_NIR_reflectance,h13v04,2015274231449,1,3463
A2014049,2014-02-18,250m_16_days_pixel_reliability,h13v04,2015274231449,1,2
A2014049,2014-02-18,250m_16_days_red_reflectance,h13v04,2015274231449,1,2107
A2014049,2014-02-18,250m_16_days_relative_azimuth_angle,h13v04,2015274231449,1,-5680
A2014049,2014-02-18,250m_16_days_sun_zenith_angle,h13v04,2015274231449,1,5800
A2014049,2014-02-18,250m_16_days_view_zenith_angle,h13v04,2015274231449,1,2484
A2014049,2014-02-18,250m_16_days_VI_Quality,h13v04,2015274231449,1,18445
A2014049,2014-02-18,250m_16_days_NDVI,h13v04,2015274231449,1,2434
A2014049,2014-02-18,250m_16_days_EVI,h13v04,2015274231449,1,2177
A2014049,2014-02-18,250m_16_days_composite_day_of_the_year,h13v04,2015274231449,1,64
A2014065,2014-03-06,250m_16_days_blue_reflectance,h13v04,2015276174416,1,1241
A2014065,2014-03-06,250m_16_days_MIR_reflectance,h13v04,2015276174416,1,244
A2014065,2014-03-06,250m_16_days_NIR_reflectance,h13v04,2015276174416,1,3076
A2014065,2014-03-06,250m_16_days_pixel_reliability,h13v04,2015276174416,1,2
A2014065,2014-03-06,250m_16_days_red_reflectance,h13v04,2015276174416,1,2112
A2014065,2014-03-06,250m_16_days_relative_azimuth_angle,h13v04,2015276174416,1,11905
A2014065,2014-03-06,250m_16_days_sun_zenith_angle,h13v04,2015276174416,1,5187
A2014065,2014-03-06,250m_16_days_view_zenith_angle,h13v04,2015276174416,1,1226
A2014065,2014-03-06,250m_16_days_VI_Quality,h13v04,2015276174416,1,18445
A2014065,2014-03-06,250m_16_days_NDVI,h13v04,2015276174416,1,1858
A2014065,2014-03-06,250m_16_days_EVI,h13v04,2015276174416,1,1586
A2014065,2014-03-06,250m_16_days_composite_day_of_the_year,h13v04,2015276174416,1,76
A2014081,2014-03-22,250m_16_days_blue_reflectance,h13v04,2015276220112,1,1267
A2014081,2014-03-22,250m_16_days_MIR_reflectance,h13v04,2015276220112,1,299
A2014081,2014-03-22,250m_16_days_NIR_reflectance,h13v04,2015276220112,1,2849
A2014081,2014-03-22,250m_16_days_pixel_reliability,h13v04,2015276220112,1,2
A2014081,2014-03-22,250m_16_days_red_reflectance,h13v04,2015276220112,1,1827
A2014081,2014-03-22,250m_16_days_relative_azimuth_angle,h13v04,2015276220112,1,11941
A2014081,2014-03-22,250m_16_days_sun_zenith_angle,h13v04,2015276220112,1,4879
A2014081,2014-03-22,250m_16_days_view_zenith_angle,h13v04,2015276220112,1,2135
A2014081,2014-03-22,250m_16_days_VI_Quality,h13v04,2015276220112,1,18445
A2014081,2014-03-22,250m_16_days_NDVI,h13v04,2015276220112,1,2185
A2014081,2014-03-22,250m_16_days_EVI,h13v04,2015276220112,1,1740
A2014081,2014-03-22,250m_16_days_composite_day_of_the_year,h13v04,2015276220112,1,83
A2014097,2014-04-07,250m_16_days_blue_reflectance,h13v04,2015278233526,1,1037
A2014097,2014-04-07,250m_16_days_MIR_reflectance,h13v04,2015278233526,1,318
A2014097,2014-04-07,250m_16_days_NIR_reflectance,h13v04,2015278233526,1,2645
A2014097,2014-04-07,250m_16_days_pixel_reliability,h13v04,2015278233526,1,3
A2014097,2014-04-07,250m_16_days_red_reflectance,h13v04,2015278233526,1,1740
A2014097,2014-04-07,250m_16_days_relative_azimuth_angle,h13v04,2015278233526,1,-5840
A2014097,2014-04-07,250m_16_days_sun_zenith_angle,h13v04,2015278233526,1,3945
A2014097,2014-04-07,250m_16_days_view_zenith_angle,h13v04,2015278233526,1,682
A2014097,2014-04-07,250m_16_days_VI_Quality,h13v04,2015278233526,1,3094
A2014097,2014-04-07,250m_16_days_NDVI,h13v04,2015278233526,1,2063
A2014097,2014-04-07,250m_16_days_EVI,h13v04,2015278233526,1,1572
A2014097,2014-04-07,250m_16_days_composite_day_of_the_year,h13v04,2015278233526,1,110
A2014113,2014-04-23,250m_16_days_blue_reflectance,h13v04,2015281101019,1,526
A2014113,2014-04-23,250m_16_days_MIR_reflectance,h13v04,2015281101019,1,419
A2014113,2014-04-23,250m_16_days_NIR_reflectance,h13v04,2015281101019,1,2184
A2014113,2014-04-23,250m_16_days_pixel_reliability,h13v04,2015281101019,1,1
A2014113,2014-04-23,250m_16_days_red_reflectance,h13v04,2015281101019,1,886
A2014113,2014-04-23,250m_16_days_relative_azimuth_angle,h13v04,2015281101019,1,-5651
A2014113,2014-04-23,250m_16_days_sun_zenith_angle,h13v04,2015281101019,1,3446
A2014113,2014-04-23,250m_16_days_view_zenith_angle,h13v04,2015281101019,1,663
A2014113,2014-04-23,250m_16_days_VI_Quality,h13v04,2015281101019,1,35217
A2014113,2014-04-23,250m_16_days_NDVI,h13v04,2015281101019,1,4228
A2014113,2014-04-23,250m_16_days_EVI,h13v04,2015281101019,1,2393
A2014113,2014-04-23,250m_16_days_composite_day_of_the_year,h13v04,2015281101019,1,126
A2014129,2014-05-09,250m_16_days_blue_reflectance,h13v04,2015281104350,1,324
A2014129,2014-05-09,250m_16_days_MIR_reflectance,h13v04,2015281104350,1,432
A2014129,2014-05-09,250m_16_days_NIR_reflectance,h13v04,2015281104350,1,1728
A2014129,2014-05-09,250m_16_days_pixel_reliability,h13v04,2015281104350,1,1
A2014129,2014-05-09,250m_16_days_red_reflectance,h13v04,2015281104350,1,463
A2014129,2014-05-09,250m_16_days_relative_azimuth_angle,h13v04,2015281104350,1,12508
A2014129,2014-05-09,250m_16_days_sun_zenith_angle,h13v04,2015281104350,1,3230
A2014129,2014-05-09,250m_16_days_view_zenith_angle,h13v04,2015281104350,1,330
A2014129,2014-05-09,250m_16_days_VI_Quality,h13v04,2015281104350,1,2441
A2014129,2014-05-09,250m_16_days_NDVI,h13v04,2015281104350,1,5773
A2014129,2014-05-09,250m_16_days_EVI,h13v04,2015281104350,1,2618
A2014129,2014-05-09,250m_16_days_composite_day_of_the_year,h13v04,2015281104350,1,133
A2014145,2014-05-25,250m_16_days_blue_reflectance,h13v04,2015287233108,1,162
A2014145,2014-05-25,250m_16_days_MIR_reflectance,h13v04,2015287233108,1,491
A2014145,2014-05-25,250m_16_days_NIR_reflectance,h13v04,2015287233108,1,1307
A2014145,2014-05-25,250m_16_days_pixel_reliability,h13v04,2015287233108,1,0
A2014145,2014-05-25,250m_16_days_red_reflectance,h13v04,2015287233108,1,332
A2014145,2014-05-25,250m_16_days_relative_azimuth_angle,h13v04,2015287233108,1,12097
A2014145,2014-05-25,250m_16_days_sun_zenith_angle,h13v04,2015287233108,1,2889
A2014145,2014-05-25,250m_16_days_view_zenith_angle,h13v04,2015287233108,1,2182
A2014145,2014-05-25,250m_16_days_VI_Quality,h13v04,2015287233108,1,2112
A2014145,2014-05-25,250m_16_days_NDVI,h13v04,2015287233108,1,5948
A2014145,2014-05-25,250m_16_days_EVI,h13v04,2015287233108,1,2017
A2014145,2014-05-25,250m_16_days_composite_day_of_the_year,h13v04,2015287233108,1,147
A2014161,2014-06-10,250m_16_days_blue_reflectance,h13v04,2015288075141,1,204
A2014161,2014-06-10,250m_16_days_MIR_reflectance,h13v04,2015288075141,1,647
A2014161,2014-06-10,250m_16_days_NIR_reflectance,h13v04,2015288075141,1,2547
A2014161,2014-06-10,250m_16_days_pixel_reliability,h13v04,2015288075141,1,0
A2014161,2014-06-10,250m_16_days_red_reflectance,h13v04,2015288075141,1,328
A2014161,2014-06-10,250m_16_days_relative_azimuth_angle,h13v04,2015288075141,1,-4708
A2014161,2014-06-10,250m_16_days_sun_zenith_angle,h13v04,2015288075141,1,2836
A2014161,2014-06-10,250m_16_days_view_zenith_angle,h13v04,2015288075141,1,646
A2014161,2014-06-10,250m_16_days_VI_Quality,h13v04,2015288075141,1,2112
A2014161,2014-06-10,250m_16_days_NDVI,h13v04,2015288075141,1,7718
A2014161,2014-06-10,250m_16_days_EVI,h13v04,2015288075141,1,4272
A2014161,2014-06-10,250m_16_days_composite_day_of_the_year,h13v04,2015288075141,1,174
A2014177,2014-06-26,250m_16_days_blue_reflectance,h13v04,2015288071331,1,130
A2014177,2014-06-26,250m_16_days_MIR_reflectance,h13v04,2015288071331,1,369
A2014177,2014-06-26,250m_16_days_NIR_reflectance,h13v04,2015288071331,1,1934
A2014177,2014-06-26,250m_16_days_pixel_reliability,h13v04,2015288071331,1,0
A2014177,2014-06-26,250m_16_days_red_reflectance,h13v04,2015288071331,1,225
A2014177,2014-06-26,250m_16_days_relative_azimuth_angle,h13v04,2015288071331,1,12212
A2014177,2014-06-26,250m_16_days_sun_zenith_angle,h13v04,2015288071331,1,2667
A2014177,2014-06-26,250m_16_days_view_zenith_angle,h13v04,2015288071331,1,3660
A2014177,2014-06-26,250m_16_days_VI_Quality,h13v04,2015288071331,1,2112
A2014177,2014-06-26,250m_16_days_NDVI,h13v04,2015288071331,1,7915
A2014177,2014-06-26,250m_16_days_EVI,h13v04,2015288071331,1,3471
A2014177,2014-06-26,250m_16_days_composite_day_of_the_year,h13v04,2015288071331,1,177
A2014193,2014-07-12,250m_16_days_blue_reflectance,h13v04,2015289003334,1,95
A2014193,2014-07-12,250m_16_days_MIR_reflectance,h13v04,2015289003334,1,333
A2014193,2014-07-12,250m_16_days_NIR_reflectance,h13v04,2015289003334,1,1515
A2014193,2014-07-12,250m_16_days_pixel_reliability,h13v04,2015289003334,1,1
A2014193,2014-07-12,250m_16_days_red_reflectance,h13v04,2015289003334,1,178
A2014193,2014-07-12,250m_16_days_relative_azimuth_angle,h13v04,2015289003334,1,11540
A2014193,2014-07-12,250m_16_days_sun_zenith_angle,h13v04,2015289003334,1,2971
A2014193,2014-07-12,250m_16_days_view_zenith_angle,h13v04,2015289003334,1,5616
A2014193,2014-07-12,250m_16_days_VI_Quality,h13v04,2015289003334,1,4164
A2014193,2014-07-12,250m_16_days_NDVI,h13v04,2015289003334,1,7897
A2014193,2014-07-12,250m_16_days_EVI,h13v04,2015289003334,1,2815
A2014193,2014-07-12,250m_16_days_composite_day_of_the_year,h13v04,2015289003334,1,205
A2014209,2014-07-28,250m_16_days_blue_reflectance,h13v04,2015289032654,1,148
A2014209,2014-07-28,250m_16_days_MIR_reflectance,h13v04,2015289032654,1,390
A2014209,2014-07-28,250m_16_days_NIR_reflectance,h13v04,2015289032654,1,1952
A2014209,2014-07-28,250m_16_days_pixel_reliability,h13v04,2015289032654,1,0
A2014209,2014-07-28,250m_16_days_red_reflectance,h13v04,2015289032654,1,267
A2014209,2014-07-28,250m_16_days_relative_azimuth_angle,h13v04,2015289032654,1,13148
A2014209,2014-07-28,250m_16_days_sun_zenith_angle,h13v04,2015289032654,1,3347
A2014209,2014-07-28,250m_16_days_view_zenith_angle,h13v04,2015289032654,1,258
A2014209,2014-07-28,250m_16_days_VI_Quality,h13v04,2015289032654,1,2112
A2014209,2014-07-28,250m_16_days_NDVI,h13v04,2015289032654,1,7593
A2014209,2014-07-28,250m_16_days_EVI,h13v04,2015289032654,1,3385
A2014209,2014-07-28,250m_16_days_composite_day_of_the_year,h13v04,2015289032654,1,213
A2014225,2014-08-13,250m_16_days_blue_reflectance,h13v04,2015289160600,1,113
A2014225,2014-08-13,250m_16_days_MIR_reflectance,h13v04,2015289160600,1,339
A2014225,2014-08-13,250m_16_days_NIR_reflectance,h13v04,2015289160600,1,997
A2014225,2014-08-13,250m_16_days_pixel_reliability,h13v04,2015289160600,1,1
A2014225,2014-08-13,250m_16_days_red_reflectance,h13v04,2015289160600,1,149
