# xllcorner: -4914821.32
# yllcorner: 5499521.91
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: all
# latitude: 49.46
# longitude: -68
# site: 24_4
# product: MOD13Q1
# start: 2016-01-01
# end: 2016-12-31
# complete: FALSE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2016001,2016-01-01,250m_16_days_blue_reflectance,h13v04,2016029065959,1,360
A2016001,2016-01-01,250m_16_days_MIR_reflectance,h13v04,2016029065959,1,256
A2016001,2016-01-01,250m_16_days_NIR_reflectance,h13v04,2016029065959,1,1227
A2016001,2016-01-01,250m_16_days_pixel_reliability,h13v04,2016029065959,1,2
A2016001,2016-01-01,250m_16_days_red_reflectance,h13v04,2016029065959,1,125
A2016001,2016-01-01,250m_16_days_relative_azimuth_angle,h13v04,2016029065959,1,-6148
A2016001,2016-01-01,250m_16_days_sun_zenith_angle,h13v04,2016029065959,1,7297
A2016001,2016-01-01,250m_16_days_view_zenith_angle,h13v04,2016029065959,1,3283
A2016001,2016-01-01,250m_16_days_VI_Quality,h13v04,2016029065959,1,51681
A2016001,2016-01-01,250m_16_days_NDVI,h13v04,2016029065959,1,8150
A2016001,2016-01-01,250m_16_days_EVI,h13v04,2016029065959,1,2426
A2016001,2016-01-01,250m_16_days_composite_day_of_the_year,h13v04,2016029065959,1,15
A2016017,2016-01-17,250m_16_days_blue_reflectance,h13v04,2016035114922,1,899
A2016017,2016-01-17,250m_16_days_MIR_reflectance,h13v04,2016035114922,1,303
A2016017,2016-01-17,250m_16_days_NIR_reflectance,h13v04,2016035114922,1,1276
A2016017,2016-01-17,250m_16_days_pixel_reliability,h13v04,2016035114922,1,2
A2016017,2016-01-17,250m_16_days_red_reflectance,h13v04,2016035114922,1,580
A2016017,2016-01-17,250m_16_days_relative_azimuth_angle,h13v04,2016035114922,1,11705
A2016017,2016-01-17,250m_16_days_sun_zenith_angle,h13v04,2016035114922,1,6932
A2016017,2016-01-17,250m_16_days_view_zenith_angle,h13v04,2016035114922,1,2136
A2016017,2016-01-17,250m_16_days_VI_Quality,h13v04,2016035114922,1,51485
A2016017,2016-01-17,250m_16_days_NDVI,h13v04,2016035114922,1,3750
A2016017,2016-01-17,250m_16_days_EVI,h13v04,2016035114922,1,1467
A2016017,2016-01-17,250m_16_days_composite_day_of_the_year,h13v04,2016035114922,1,25
A2016033,2016-02-02,250m_16_days_blue_reflectance,h13v04,2016050023409,1,1107
A2016033,2016-02-02,250m_16_days_MIR_reflectance,h13v04,2016050023409,1,195
A2016033,2016-02-02,250m_16_days_NIR_reflectance,h13v04,2016050023409,1,1519
A2016033,2016-02-02,250m_16_days_pixel_reliability,h13v04,2016050023409,1,2
A2016033,2016-02-02,250m_16_days_red_reflectance,h13v04,2016050023409,1,888
A2016033,2016-02-02,250m_16_days_relative_azimuth_angle,h13v04,2016050023409,1,11720
A2016033,2016-02-02,250m_16_days_sun_zenith_angle,h13v04,2016050023409,1,6505
A2016033,2016-02-02,250m_16_days_view_zenith_angle,h13v04,2016050023409,1,3651
A2016033,2016-02-02,250m_16_days_VI_Quality,h13v04,2016050023409,1,51225
A2016033,2016-02-02,250m_16_days_NDVI,h13v04,2016050023409,1,2621
A2016033,2016-02-02,250m_16_days_EVI,h13v04,2016050023409,1,1271
A2016033,2016-02-02,250m_16_days_composite_day_of_the_year,h13v04,2016050023409,1,39
A2016049,2016-02-18,250m_16_days_blue_reflectance,h13v04,2016109133521,1,2008
A2016049,2016-02-18,250m_16_days_MIR_reflectance,h13v04,2016109133521,1,192
A2016049,2016-02-18,250m_16_days_NIR_reflectance,h13v04,2016109133521,1,1782
A2016049,2016-02-18,250m_16_days_pixel_reliability,h13v04,2016109133521,1,2
A2016049,2016-02-18,250m_16_days_red_reflectance,h13v04,2016109133521,1,1370
A2016049,2016-02-18,250m_16_days_relative_azimuth_angle,h13v04,2016109133521,1,11134
A2016049,2016-02-18,250m_16_days_sun_zenith_angle,h13v04,2016109133521,1,5905
A2016049,2016-02-18,250m_16_days_view_zenith_angle,h13v04,2016109133521,1,270
A2016049,2016-02-18,250m_16_days_VI_Quality,h13v04,2016109133521,1,18445
A2016049,2016-02-18,250m_16_days_NDVI,h13v04,2016109133521,1,1307
A2016049,2016-02-18,250m_16_days_EVI,h13v04,2016109133521,1,783
A2016049,2016-02-18,250m_16_days_composite_day_of_the_year,h13v04,2016109133521,1,59
A2016065,2016-03-05,250m_16_days_blue_reflectance,h13v04,2016111112440,1,616
A2016065,2016-03-05,250m_16_days_MIR_reflectance,h13v04,2016111112440,1,328
A2016065,2016-03-05,250m_16_days_NIR_reflectance,h13v04,2016111112440,1,1799
A2016065,2016-03-05,250m_16_days_pixel_reliability,h13v04,2016111112440,1,1
A2016065,2016-03-05,250m_16_days_red_reflectance,h13v04,2016111112440,1,973
A2016065,2016-03-05,250m_16_days_relative_azimuth_angle,h13v04,2016111112440,1,11752
A2016065,2016-03-05,250m_16_days_sun_zenith_angle,h13v04,2016111112440,1,5039
A2016065,2016-03-05,250m_16_days_view_zenith_angle,h13v04,2016111112440,1,4216
A2016065,2016-03-05,250m_16_days_VI_Quality,h13v04,2016111112440,1,2257
A2016065,2016-03-05,250m_16_days_NDVI,h13v04,2016111112440,1,2979
A2016065,2016-03-05,250m_16_days_EVI,h13v04,2016111112440,1,1586
A2016065,2016-03-05,250m_16_days_composite_day_of_the_year,h13v04,2016111112440,1,78
A2016081,2016-03-21,250m_16_days_blue_reflectance,h13v04,2017097232845,1,3219
A2016081,2016-03-21,250m_16_days_MIR_reflectance,h13v04,2017097232845,1,420
A2016081,2016-03-21,250m_16_days_NIR_reflectance,h13v04,2017097232845,1,4384
A2016081,2016-03-21,250m_16_days_pixel_reliability,h13v04,2017097232845,1,2
A2016081,2016-03-21,250m_16_days_red_reflectance,h13v04,2017097232845,1,3781
A2016081,2016-03-21,250m_16_days_relative_azimuth_angle,h13v04,2017097232845,1,11734
A2016081,2016-03-21,250m_16_days_sun_zenith_angle,h13v04,2017097232845,1,4587
A2016081,2016-03-21,250m_16_days_view_zenith_angle,h13v04,2017097232845,1,3604
A2016081,2016-03-21,250m_16_days_VI_Quality,h13v04,2017097232845,1,18445
A2016081,2016-03-21,250m_16_days_NDVI,h13v04,2017097232845,1,738
A2016081,2016-03-21,250m_16_days_EVI,h13v04,2017097232845,1,829
A2016081,2016-03-21,250m_16_days_composite_day_of_the_year,h13v04,2017097232845,1,89
A2016097,2016-04-06,250m_16_days_blue_reflectance,h13v04,2016114041418,1,838
A2016097,2016-04-06,250m_16_days_MIR_reflectance,h13v04,2016114041418,1,379
A2016097,2016-04-06,250m_16_days_NIR_reflectance,h13v04,2016114041418,1,1462
A2016097,2016-04-06,250m_16_days_pixel_reliability,h13v04,2016114041418,1,3
A2016097,2016-04-06,250m_16_days_red_reflectance,h13v04,2016114041418,1,677
A2016097,2016-04-06,250m_16_days_relative_azimuth_angle,h13v04,2016114041418,1,11500
A2016097,2016-04-06,250m_16_days_sun_zenith_angle,h13v04,2016114041418,1,4129
A2016097,2016-04-06,250m_16_days_view_zenith_angle,h13v04,2016114041418,1,4748
A2016097,2016-04-06,250m_16_days_VI_Quality,h13v04,2016114041418,1,5146
A2016097,2016-04-06,250m_16_days_NDVI,h13v04,2016114041418,1,3669
A2016097,2016-04-06,250m_16_days_EVI,h13v04,2016114041418,1,1616
A2016097,2016-04-06,250m_16_days_composite_day_of_the_year,h13v04,2016114041418,1,101
A2016113,2016-04-22,250m_16_days_blue_reflectance,h13v04,2016130115803,1,764
A2016113,2016-04-22,250m_16_days_MIR_reflectance,h13v04,2016130115803,1,430
A2016113,2016-04-22,250m_16_days_NIR_reflectance,h13v04,2016130115803,1,1434
A2016113,2016-04-22,250m_16_days_pixel_reliability,h13v04,2016130115803,1,3
A2016113,2016-04-22,250m_16_days_red_reflectance,h13v04,2016130115803,1,596
A2016113,2016-04-22,250m_16_days_relative_azimuth_angle,h13v04,2016130115803,1,11394
A2016113,2016-04-22,250m_16_days_sun_zenith_angle,h13v04,2016130115803,1,3573
A2016113,2016-04-22,250m_16_days_view_zenith_angle,h13v04,2016130115803,1,4768
A2016113,2016-04-22,250m_16_days_VI_Quality,h13v04,2016130115803,1,3098
A2016113,2016-04-22,250m_16_days_NDVI,h13v04,2016130115803,1,4128
A2016113,2016-04-22,250m_16_days_EVI,h13v04,2016130115803,1,1741
A2016113,2016-04-22,250m_16_days_composite_day_of_the_year,h13v04,2016130115803,1,117
