# xllcorner: -4859455.44
# yllcorner: 5527320.67
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: all
# latitude: 49.71
# longitude: -67.58
# site: 66_29
# product: MOD13Q1
# start: 2017-01-01
# end: 2017-12-31
# complete: TRUE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2017001,2017-01-01,250m_16_days_blue_reflectance,h13v04,2017020222211,1,2182
A2017001,2017-01-01,250m_16_days_MIR_reflectance,h13v04,2017020222211,1,104
A2017001,2017-01-01,250m_16_days_NIR_reflectance,h13v04,2017020222211,1,2886
A2017001,2017-01-01,250m_16_days_pixel_reliability,h13v04,2017020222211,1,2
A2017001,2017-01-01,250m_16_days_red_reflectance,h13v04,2017020222211,1,1893
A2017001,2017-01-01,250m_16_days_relative_azimuth_angle,h13v04,2017020222211,1,11461
A2017001,2017-01-01,250m_16_days_sun_zenith_angle,h13v04,2017020222211,1,7295
A2017001,2017-01-01,250m_16_days_view_zenith_angle,h13v04,2017020222211,1,3040
A2017001,2017-01-01,250m_16_days_VI_Quality,h13v04,2017020222211,1,18449
A2017001,2017-01-01,250m_16_days_NDVI,h13v04,2017020222211,1,-3000
A2017001,2017-01-01,250m_16_days_EVI,h13v04,2017020222211,1,-3000
A2017001,2017-01-01,250m_16_days_composite_day_of_the_year,h13v04,2017020222211,1,2
A2017017,2017-01-17,250m_16_days_blue_reflectance,h13v04,2017034073709,1,2446
A2017017,2017-01-17,250m_16_days_MIR_reflectance,h13v04,2017034073709,1,110
A2017017,2017-01-17,250m_16_days_NIR_reflectance,h13v04,2017034073709,1,3641
A2017017,2017-01-17,250m_16_days_pixel_reliability,h13v04,2017034073709,1,2
A2017017,2017-01-17,250m_16_days_red_reflectance,h13v04,2017034073709,1,2686
A2017017,2017-01-17,250m_16_days_relative_azimuth_angle,h13v04,2017034073709,1,-5670
A2017017,2017-01-17,250m_16_days_sun_zenith_angle,h13v04,2017034073709,1,7076
A2017017,2017-01-17,250m_16_days_view_zenith_angle,h13v04,2017034073709,1,539
A2017017,2017-01-17,250m_16_days_VI_Quality,h13v04,2017034073709,1,20497
A2017017,2017-01-17,250m_16_days_NDVI,h13v04,2017034073709,1,1509
A2017017,2017-01-17,250m_16_days_EVI,h13v04,2017034073709,1,1462
A2017017,2017-01-17,250m_16_days_composite_day_of_the_year,h13v04,2017034073709,1,22
A2017033,2017-02-02,250m_16_days_blue_reflectance,h13v04,2017053060256,1,1916
A2017033,2017-02-02,250m_16_days_MIR_reflectance,h13v04,2017053060256,1,228
A2017033,2017-02-02,250m_16_days_NIR_reflectance,h13v04,2017053060256,1,2997
A2017033,2017-02-02,250m_16_days_pixel_reliability,h13v04,2017053060256,1,2
A2017033,2017-02-02,250m_16_days_red_reflectance,h13v04,2017053060256,1,1855
A2017033,2017-02-02,250m_16_days_relative_azimuth_angle,h13v04,2017053060256,1,11669
A2017033,2017-02-02,250m_16_days_sun_zenith_angle,h13v04,2017053060256,1,6399
A2017033,2017-02-02,250m_16_days_view_zenith_angle,h13v04,2017053060256,1,448
A2017033,2017-02-02,250m_16_days_VI_Quality,h13v04,2017053060256,1,20497
A2017033,2017-02-02,250m_16_days_NDVI,h13v04,2017053060256,1,2353
A2017033,2017-02-02,250m_16_days_EVI,h13v04,2017053060256,1,1922
A2017033,2017-02-02,250m_16_days_composite_day_of_the_year,h13v04,2017053060256,1,45
A2017049,2017-02-18,250m_16_days_blue_reflectance,h13v04,2017066031211,1,1924
A2017049,2017-02-18,250m_16_days_MIR_reflectance,h13v04,2017066031211,1,278
A2017049,2017-02-18,250m_16_days_NIR_reflectance,h13v04,2017066031211,1,2700
A2017049,2017-02-18,250m_16_days_pixel_reliability,h13v04,2017066031211,1,2
A2017049,2017-02-18,250m_16_days_red_reflectance,h13v04,2017066031211,1,1718
A2017049,2017-02-18,250m_16_days_relative_azimuth_angle,h13v04,2017066031211,1,11778
A2017049,2017-02-18,250m_16_days_sun_zenith_angle,h13v04,2017066031211,1,6125
A2017049,2017-02-18,250m_16_days_view_zenith_angle,h13v04,2017066031211,1,1380
A2017049,2017-02-18,250m_16_days_VI_Quality,h13v04,2017066031211,1,18449
A2017049,2017-02-18,250m_16_days_NDVI,h13v04,2017066031211,1,2222
A2017049,2017-02-18,250m_16_days_EVI,h13v04,2017066031211,1,1702
A2017049,2017-02-18,250m_16_days_composite_day_of_the_year,h13v04,2017066031211,1,52
A2017065,2017-03-06,250m_16_days_blue_reflectance,h13v04,2017082120814,1,2616
A2017065,2017-03-06,250m_16_days_MIR_reflectance,h13v04,2017082120814,1,285
A2017065,2017-03-06,250m_16_days_NIR_reflectance,h13v04,2017082120814,1,3852
A2017065,2017-03-06,250m_16_days_pixel_reliability,h13v04,2017082120814,1,2
A2017065,2017-03-06,250m_16_days_red_reflectance,h13v04,2017082120814,1,2793
A2017065,2017-03-06,250m_16_days_relative_azimuth_angle,h13v04,2017082120814,1,-5701
A2017065,2017-03-06,250m_16_days_sun_zenith_angle,h13v04,2017082120814,1,5805
A2017065,2017-03-06,250m_16_days_view_zenith_angle,h13v04,2017082120814,1,3161
A2017065,2017-03-06,250m_16_days_VI_Quality,h13v04,2017082120814,1,20493
A2017065,2017-03-06,250m_16_days_NDVI,h13v04,2017082120814,1,1593
A2017065,2017-03-06,250m_16_days_EVI,h13v04,2017082120814,1,1590
A2017065,2017-03-06,250m_16_days_composite_day_of_the_year,h13v04,2017082120814,1,65
A2017081,2017-03-22,250m_16_days_blue_reflectance,h13v04,2017111085058,1,1560
A2017081,2017-03-22,250m_16_days_MIR_reflectance,h13v04,2017111085058,1,230
A2017081,2017-03-22,250m_16_days_NIR_reflectance,h13v04,2017111085058,1,2988
A2017081,2017-03-22,250m_16_days_pixel_reliability,h13v04,2017111085058,1,2
A2017081,2017-03-22,250m_16_days_red_reflectance,h13v04,2017111085058,1,1740
A2017081,2017-03-22,250m_16_days_relative_azimuth_angle,h13v04,2017111085058,1,11921
A2017081,2017-03-22,250m_16_days_sun_zenith_angle,h13v04,2017111085058,1,4570
A2017081,2017-03-22,250m_16_days_view_zenith_angle,h13v04,2017111085058,1,2236
A2017081,2017-03-22,250m_16_days_VI_Quality,h13v04,2017111085058,1,20493
A2017081,2017-03-22,250m_16_days_NDVI,h13v04,2017111085058,1,2639
A2017081,2017-03-22,250m_16_days_EVI,h13v04,2017111085058,1,2118
A2017081,2017-03-22,250m_16_days_composite_day_of_the_year,h13v04,2017111085058,1,91
A2017097,2017-04-07,250m_16_days_blue_reflectance,h13v04,2017116142053,1,1740
A2017097,2017-04-07,250m_16_days_MIR_reflectance,h13v04,2017116142053,1,320
A2017097,2017-04-07,250m_16_days_NIR_reflectance,h13v04,2017116142053,1,3235
A2017097,2017-04-07,250m_16_days_pixel_reliability,h13v04,2017116142053,1,2
A2017097,2017-04-07,250m_16_days_red_reflectance,h13v04,2017116142053,1,1842
A2017097,2017-04-07,250m_16_days_relative_azimuth_angle,h13v04,2017116142053,1,-5486
A2017097,2017-04-07,250m_16_days_sun_zenith_angle,h13v04,2017116142053,1,4241
A2017097,2017-04-07,250m_16_days_view_zenith_angle,h13v04,2017116142053,1,2374
A2017097,2017-04-07,250m_16_days_VI_Quality,h13v04,2017116142053,1,20493
A2017097,2017-04-07,250m_16_days_NDVI,h13v04,2017116142053,1,2743
A2017097,2017-04-07,250m_16_days_EVI,h13v04,2017116142053,1,2309
A2017097,2017-04-07,250m_16_days_composite_day_of_the_year,h13v04,2017116142053,1,104
A2017113,2017-04-23,250m_16_days_blue_reflectance,h13v04,2017131014716,1,1384
A2017113,2017-04-23,250m_16_days_MIR_reflectance,h13v04,2017131014716,1,410
A2017113,2017-04-23,250m_16_days_NIR_reflectance,h13v04,2017131014716,1,2824
A2017113,2017-04-23,250m_16_days_pixel_reliability,h13v04,2017131014716,1,2
A2017113,2017-04-23,250m_16_days_red_reflectance,h13v04,2017131014716,1,1353
A2017113,2017-04-23,250m_16_days_relative_azimuth_angle,h13v04,2017131014716,1,-4947
A2017113,2017-04-23,250m_16_days_sun_zenith_angle,h13v04,2017131014716,1,3797
A2017113,2017-04-23,250m_16_days_view_zenith_angle,h13v04,2017131014716,1,5009
A2017113,2017-04-23,250m_16_days_VI_Quality,h13v04,2017131014716,1,20497
A2017113,2017-04-23,250m_16_days_NDVI,h13v04,2017131014716,1,3521
A2017113,2017-04-23,250m_16_days_EVI,h13v04,2017131014716,1,2593
A2017113,2017-04-23,250m_16_days_composite_day_of_the_year,h13v04,2017131014716,1,124
A2017129,2017-05-09,250m_16_days_blue_reflectance,h13v04,2017145232301,1,773
A2017129,2017-05-09,250m_16_days_MIR_reflectance,h13v04,2017145232301,1,329
A2017129,2017-05-09,250m_16_days_NIR_reflectance,h13v04,2017145232301,1,2286
A2017129,2017-05-09,250m_16_days_pixel_reliability,h13v04,2017145232301,1,1
A2017129,2017-05-09,250m_16_days_red_reflectance,h13v04,2017145232301,1,703
A2017129,2017-05-09,250m_16_days_relative_azimuth_angle,h13v04,2017145232301,1,12398
A2017129,2017-05-09,250m_16_days_sun_zenith_angle,h13v04,2017145232301,1,3071
A2017129,2017-05-09,250m_16_days_view_zenith_angle,h13v04,2017145232301,1,420
A2017129,2017-05-09,250m_16_days_VI_Quality,h13v04,2017145232301,1,4105
A2017129,2017-05-09,250m_16_days_NDVI,h13v04,2017145232301,1,5296
A2017129,2017-05-09,250m_16_days_EVI,h13v04,2017145232301,1,3696
A2017129,2017-05-09,250m_16_days_composite_day_of_the_year,h13v04,2017145232301,1,141
A2017145,2017-05-25,250m_16_days_blue_reflectance,h13v04,2017164072212,1,177
A2017145,2017-05-25,250m_16_days_MIR_reflectance,h13v04,2017164072212,1,344
